epoch,Loss
1,290.3862349934896
2,227.89671875
3,218.08430859375
4,213.07994817708334
5,209.84454371744792
6,207.47289212239582
7,205.5461515299479
8,204.07839072265625
9,202.9463632486979
10,201.98212532552083
11,201.16319560546876
12,200.49067200520832
13,199.87383763020833
14,199.33794208984375
15,198.89845768229168
16,198.47157825520833
17,198.06821735026043
18,197.68330192057292
19,197.29668264973958
20,197.05198385416668
21,196.764523046875
22,196.52249638671876
23,196.24552685546874
24,196.013716015625
25,195.79366842447916
26,195.56675911458333
27,195.395840234375
28,195.22782962239583
29,195.05411624348957
30,194.85975794270834
31,194.73225777994793
32,194.58067291666666
33,194.4368685872396
34,194.29605387369793
35,194.17084303385417
36,194.03474537760417
37,193.9054681640625
38,193.78594114583333
39,193.67174313151042
40,193.59955576171876
41,193.47945543619792
42,193.38880550130207
43,193.27866513671876
44,193.20783916015625
45,193.07709921875
46,193.02504026692708
47,192.94084957682293
48,192.84940709635416
49,192.7673529296875
50,192.69346917317708
